,z,height H1,height H2
256,256,2.6695782916999997,3.258858732
257,257,2.6849335363999995,3.252398592
258,258,2.6999944574,3.2450291437
259,259,2.7090275182,3.2424128877999996
260,260,2.7079432248999997,3.2485853166000003
261,261,2.6975260412000006,3.2627196398000002
262,262,2.6827804283999996,3.2797809048999995
263,263,2.6693750159,3.2940856587000003
264,264,2.6613048193999997,3.3016387361
265,265,2.6603416358,3.3006780619000002
266,266,2.6660554172,3.2916487381999993
267,267,2.6757366976000005,3.2772779615000003
268,268,2.6844026151000002,3.2625680258
269,269,2.6859647567000002,3.2536274425999996
270,270,2.6765901772,3.2543057529
271,271,2.6578657359999998,3.2630260215
272,272,2.6354701034,3.2741185389000003
273,273,2.6153275984999995,3.2816749981999997
274,274,2.6014087803,3.2817505537000002
275,275,2.5953130464000003,3.2727811477
276,276,2.5963190673999996,3.2555327052000003
277,277,2.6012990724,3.2331865078
278,278,2.604795939,3.2112632943999997
279,279,2.6004809215,3.1961689326
280,280,2.5848694455,3.1914822880000004
281,281,2.5602790088000003,3.1950008844999997
282,282,2.5329086127,3.2006653317
283,283,2.5088460375999997,3.2025506422000003
284,284,2.4920289931,3.1968989528
285,285,2.4839387215999995,3.1824198726999997
286,286,2.4836731633,3.1466243021
287,287,2.4878615779,3.1217471068000004
288,288,2.4908103293999995,3.098327146
289,289,2.4861812587,3.0828172971
290,290,2.4708980766,3.0784081214
291,291,2.4478216583000005,3.0823554172000005
292,292,2.4233890571999996,3.0883361291
293,293,2.4036067194999995,3.0904429480999998
294,294,2.3921804021999997,3.0850441803999997
295,295,2.3902929924,3.0710033158000005
296,296,2.3966845598999997,3.0496005248999998
297,297,2.4075755465000004,3.0246117399
298,298,2.4169354167999995,3.0020448450999995
299,299,2.4184755489999996,2.9881584556
300,300,2.4097101048000003,2.9854168158
301,301,2.3940623877,2.990393015
302,302,2.3356476654,2.9966854635999995
303,303,2.3190182692,2.9987339110999995
304,304,2.3105535405,2.9933435904
305,305,2.3110904565,2.9797791626000003
306,306,2.3190763542,2.9596886508
307,307,2.330499134,2.9371726293
308,308,2.3393145564999998,2.9183611117999995
309,309,2.3397730294,2.9090983700000006
310,310,2.3304559246,2.9109198384
311,311,2.3155404929,2.9197889840999998
312,312,2.3013912722,2.929492068
313,313,2.2931225522,2.9350579278
314,314,2.293475612,2.9338704349
315,315,2.3028435274000003,2.9256399110999993
316,316,2.3193399539,2.9123319793
317,317,2.3387639561,2.8982005421999997
318,318,2.3552300964,2.8891591523
319,319,2.3637696926,2.8901869506999995
320,320,2.3640248311,2.9016424637
321,321,2.3605016247,2.9190090612
322,322,2.3589796891,2.9364759012999997
323,323,2.3636969983,2.9497460900999997
324,324,2.3766401839,2.9567459454
325,325,2.39764732,2.9575222478
326,326,2.4244581846999997,2.9541905799999997
327,327,2.4527415249000004,2.950907558
